City/Town,Ward,Pct,"Ann Manwaring",Write-Ins,Blanks,"Total Votes Cast"
,,,
Halifax,,,22,0,1,23
Whitingham,,,37,1,11,49
Wilmington,,,65,1,9,75
TOTALS,,,124,2,21,147
