City/Town,Ward,Pct,"Michael J. Marcotte","Duncan Kilmartin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Coventry,,,27,21,4,8,60
Irasburg,,,22,20,0,10,52
"Newport City",,,72,71,3,16,162
"Newport Town",,,15,14,1,4,34
Troy,,,7,5,0,5,17
TOTALS,,,143,131,8,43,325
