City/Town,Ward,Pct,"James Eckhardt",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,11,0,0,11
Chittenden,,,15,0,2,17
Killington,,,15,0,1,16
Mendon,,,18,0,5,23
TOTALS,,,59,0,8,67
