City/Town,Ward,Pct,"Eldred French",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,67,4,19,90
"Mount Holly",,,54,0,10,64
Shrewsbury,,,63,2,10,75
TOTALS,,,184,6,39,229
