City/Town,Ward,Pct,"Kathleen C. Keenan","Mike McCarthy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,292,276,42,167,777
"St. Albans Town",,,81,81,6,42,210
TOTALS,,,373,357,48,209,987
