City/Town,Ward,Pct,"Vincent Illuzzi",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",37,0,14,51
"Rutland Town",,,108,3,31,142
Ryegate,,,17,0,0,17
Salisbury,,,10,0,1,11
Sandgate,,,5,0,1,6
Searsburg,,,2,0,1,3
Shaftsbury,,,26,0,7,33
Sharon,,,17,1,8,26
Sheffield,,,9,0,3,12
Shelburne,-,"Chittenden 5-1",81,3,12,96
Shelburne,-,"Chittenden 5-2",57,0,13,70
Sheldon,,,35,1,10,46
Shoreham,,,13,0,2,15
Shrewsbury,,,25,0,3,28
"S. Burlington",-,"Chittenden 7-1",39,0,11,50
"S. Burlington",-,"Chittenden 7-2",66,1,16,83
"S. Burlington",-,"Chittenden 7-3",42,1,9,52
"S. Burlington",-,"Chittenden 7-4",72,0,7,79
"S. Hero",,,35,0,3,38
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",73,1,10,84
"St. Albans City",,,235,8,65,308
"St. Albans Town",-,"Franklin 3-1",108,0,15,123
"St. Albans Town",-,"Franklin 3-2",170,5,35,210
"St. George",,,5,0,3,8
"St. Johnsbury",,,68,2,13,83
Stamford,,,10,1,0,11
Stannard,,,2,0,0,2
Starksboro,,,28,0,4,32
Stockbridge,,,12,0,2,14
Stowe,,,34,0,4,38
Strafford,,,15,0,1,16
Stratton,,,4,0,0,4
Sudbury,,,15,0,4,19
Sunderland,-,"Bennington 3",0,0,0,0
Sunderland,-,"Bennington 4",6,0,1,7
Sutton,,,19,0,1,20
Swanton,,,205,4,32,241
Thetford,,,13,0,2,15
Tinmouth,-,"Rutland 2",2,0,0,2
Tinmouth,-,Rutland-Bennington,7,0,1,8
Topsham,,,18,0,10,28
Townshend,,,17,0,4,21
Troy,-,"Orleans 2",6,1,2,9
Troy,-,Orleans-Lamoille,7,0,3,10
Tunbridge,,,23,2,4,29
Underhill,,,40,1,5,46
Vergennes,,,19,1,8,28
Vernon,,,48,1,12,61
Vershire,,,8,0,2,10
Victory,,,4,1,5,10
Waitsfield,,,23,0,4,27
Walden,,,16,0,3,19
Wallingford,,,32,1,4,37
Waltham,,,1,0,1,2
Wardsboro,,,8,0,3,11
Warren,,,9,0,7,16
Washington,,,21,0,6,27
Waterbury,,,42,1,6,49
Waterford,,,16,0,3,19
Waterville,,,8,0,2,10
Weathersfield,,,39,0,4,43
Wells,,,11,0,2,13
"W. Fairlee",,,5,0,1,6
"W. Haven",,,7,0,0,7
"W. Rutland",,,26,0,6,32
"W. Windsor",,,16,2,3,21
Westfield,,,11,2,1,14
Westford,,,18,0,1,19
Westminster,-,"Windham 3",0,0,1,1
Westminster,-,"Windham 4",27,0,3,30
Westmore,,,4,0,5,9
Weston,,,12,0,6,18
Weybridge,,,7,0,4,11
Wheelock,,,11,0,4,15
Whiting,,,13,0,3,16
Whitingham,-,"Windham 6",19,0,0,19
Whitingham,-,Windham-Bennington,2,0,0,2
Williamstown,,,53,4,10,67
Williston,,,92,0,23,115
Wilmington,,,23,0,6,29
Windham,,,5,0,1,6
Windsor,,,42,0,1,43
Winhall,,,13,0,4,17
Winooski,,,36,0,8,44
Wolcott,,,15,1,6,22
Woodbury,,,22,0,5,27
Woodford,,,0,0,1,1
Woodstock,,,54,0,17,71
Worcester,,,7,0,3,10
TOTALS,,,"8,140",155,"2,109","10,404"
