City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Athens,,,-,1,20,21
Brattleboro,-,"Windham 2-1",-,3,79,82
Brattleboro,-,"Windham 2-2",-,1,59,60
Brattleboro,-,"Windham 2-3",-,2,38,40
Brookline,,,-,6,22,28
Dover,,,-,7,107,114
Dummerston,,,-,2,44,46
Grafton,,,-,12,42,54
Guilford,,,-,7,31,38
Halifax,,,-,0,34,34
Jamaica,,,-,1,19,20
Marlboro,,,-,3,17,20
Newfane,,,-,0,38,38
Putney,,,-,1,35,36
Rockingham,,,-,10,94,104
Stratton,,,-,0,8,8
Townshend,,,-,3,0,3
Vernon,,,-,14,108,122
Wardsboro,,,-,0,21,21
Westminster,-,"Windham 3",-,0,2,2
Westminster,-,"Windham 4",-,9,53,62
Whitingham,-,"Windham 6",-,2,36,38
Whitingham,-,Windham-Bennington,-,0,4,4
Windham,,,-,0,12,12
TOTALS,,,-,84,923,"1,007"
