City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Bristol,,,-,2,5,7
Lincoln,,,-,0,8,8
Monkton,,,-,2,4,6
Starksboro,,,-,0,1,1
TOTALS,,,-,4,18,22
