City/Town,Ward,Pct,"Bernard C. Juskiewicz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cambridge,,,46,1,1,48
Waterville,,,8,0,2,10
TOTALS,,,54,1,3,58
