City/Town,Ward,Pct,"Leigh J. Dakin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,33,0,3,36
Baltimore,,,3,0,0,3
Chester,,,175,3,8,186
Springfield,,,11,0,0,11
TOTALS,,,222,3,11,236
