City/Town,Ward,Pct,"Anne L. Gallivan",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,35,16,7,58
Chittenden,,,60,8,12,80
Killington,,,37,30,10,77
Mendon,,,51,19,9,79
TOTALS,,,183,73,38,294
