City/Town,Ward,Pct,"Jerry Colby",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,,,5,0,4,9
Cambridge,,,112,18,67,197
Eden,,,19,6,10,35
Elmore,,,42,0,26,68
"Hyde Park",,,68,13,59,140
Johnson,,,62,2,27,91
Morristown,,,133,18,103,254
Stowe,,,107,4,96,207
Waterville,,,13,1,13,27
TOTALS,,,561,62,405,"1,028"
