City/Town,Ward,Pct,"Thomas Burditt","Glenn Eno",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Clarendon,,,30,25,0,7,62
Proctor,,,11,4,0,11,26
Tinmouth,,,0,2,0,2,4
Wallingford,,,23,28,1,22,74
"W. Rutland",,,29,21,0,14,64
TOTALS,,,93,80,1,56,230
