City/Town,Ward,Pct,"Alison H. Clarkson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Plymouth,,,18,0,2,20
Reading,,,39,0,7,46
Woodstock,,,248,0,33,281
TOTALS,,,305,0,42,347
