City/Town,Ward,Pct,"Richard J. Marek",Write-Ins,Blanks,"Total Votes Cast"
,,,
Marlboro,,,120,0,17,137
Newfane,,,137,3,25,165
Townshend,,,44,0,17,61
TOTALS,,,301,3,59,363
