City/Town,Ward,Pct,"Jack McMullen",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",35,1,15,51
"Rutland Town",,,96,6,40,142
Ryegate,,,14,3,0,17
Salisbury,,,8,0,3,11
Sandgate,,,3,1,2,6
Searsburg,,,1,0,2,3
Shaftsbury,,,27,1,5,33
Sharon,,,19,2,6,27
Sheffield,,,6,2,4,12
Shelburne,-,"Chittenden 5-1",76,6,14,96
Shelburne,-,"Chittenden 5-2",52,6,12,70
Sheldon,,,29,10,7,46
Shoreham,,,13,2,0,15
Shrewsbury,,,20,2,6,28
"S. Burlington",-,"Chittenden 7-1",35,4,11,50
"S. Burlington",-,"Chittenden 7-2",59,15,9,83
"S. Burlington",-,"Chittenden 7-3",41,3,8,52
"S. Burlington",-,"Chittenden 7-4",61,6,12,79
"S. Hero",,,32,1,5,38
Springfield,-,"Windsor 3-1",1,1,0,2
Springfield,-,"Windsor 3-2",69,4,11,84
"St. Albans City",,,198,47,64,309
"St. Albans Town",-,"Franklin 3-1",88,10,25,123
"St. Albans Town",-,"Franklin 3-2",141,31,38,210
"St. George",,,3,3,2,8
"St. Johnsbury",,,59,9,15,83
Stamford,,,10,1,0,11
Stannard,,,2,0,0,2
Starksboro,,,25,5,2,32
Stockbridge,,,12,0,2,14
Stowe,,,32,2,4,38
Strafford,,,12,3,1,16
Stratton,,,4,0,0,4
Sudbury,,,13,1,5,19
Sunderland,-,"Bennington 3",0,0,0,0
Sunderland,-,"Bennington 4",5,0,2,7
Sutton,,,15,2,2,19
Swanton,,,176,19,46,241
Thetford,,,12,1,2,15
Tinmouth,-,"Rutland 2",2,0,0,2
Tinmouth,-,Rutland-Bennington,8,0,0,8
Topsham,,,19,2,7,28
Townshend,,,14,1,6,21
Troy,-,"Orleans 2",5,0,2,7
Troy,-,Orleans-Lamoille,7,2,1,10
Tunbridge,,,16,7,4,27
Underhill,,,40,1,5,46
Vergennes,,,17,4,7,28
Vernon,,,48,2,11,61
Vershire,,,7,1,2,10
Victory,,,4,3,3,10
Waitsfield,,,21,2,4,27
Walden,,,15,1,3,19
Wallingford,,,30,2,5,37
Waltham,,,1,1,0,2
Wardsboro,,,9,0,2,11
Warren,,,9,1,6,16
Washington,,,18,2,8,28
Waterbury,,,30,10,9,49
Waterford,,,16,1,2,19
Waterville,,,7,0,3,10
Weathersfield,,,39,2,2,43
Wells,,,11,0,2,13
"W. Fairlee",,,5,0,1,6
"W. Haven",,,7,0,0,7
"W. Rutland",,,27,1,4,32
"W. Windsor",,,15,3,3,21
Westfield,,,7,3,5,15
Westford,,,17,1,1,19
Westminster,-,"Windham 3",0,0,1,1
Westminster,-,"Windham 4",26,1,4,31
Westmore,,,4,0,5,9
Weston,,,13,0,5,18
Weybridge,,,8,0,3,11
Wheelock,,,6,3,6,15
Whiting,,,15,0,1,16
Whitingham,-,"Windham 6",18,0,1,19
Whitingham,-,Windham-Bennington,2,0,0,2
Williamstown,,,43,17,7,67
Williston,,,89,8,18,115
Wilmington,,,22,0,7,29
Windham,,,5,0,1,6
Windsor,,,40,2,1,43
Winhall,,,11,2,4,17
Winooski,,,29,1,13,43
Wolcott,,,12,4,5,21
Woodbury,,,23,1,3,27
Woodford,,,0,0,1,1
Woodstock,,,50,6,15,71
Worcester,,,6,0,4,10
TOTALS,,,"7,979",839,"2,173","10,991"
