City/Town,Ward,Pct,"Shap Smith","Peter Peltz",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Elmore,,,61,54,0,21,136
Morristown,,,204,172,6,126,508
Woodbury,,,51,53,3,30,137
Worcester,,,74,80,2,40,196
TOTALS,,,390,359,11,217,977
