City/Town,Ward,Pct,"Doug Hoffer",Write-Ins,Blanks,"Total Votes Cast"
Richmond,,,355,2,145,502
Ripton,,,59,1,19,79
Rochester,,,53,1,23,77
Rockingham,,,593,10,312,915
Roxbury,,,28,1,21,50
Royalton,,,102,0,49,151
Rupert,,,31,0,4,35
"Rutland City",-,"Rutland 5-1",152,4,125,281
"Rutland City",-,"Rutland 5-2",90,5,65,160
"Rutland City",-,"Rutland 5-3",66,3,43,112
"Rutland City",-,"Rutland 5-4",98,5,71,174
"Rutland Town",,,136,5,79,220
Ryegate,,,60,5,21,86
Salisbury,,,35,0,20,55
Sandgate,,,19,0,6,25
Searsburg,,,1,0,9,10
Shaftsbury,,,137,3,41,181
Sharon,,,68,1,17,86
Sheffield,,,11,0,8,19
Shelburne,-,"Chittenden 5-1",362,8,162,532
Shelburne,-,"Chittenden 5-2",233,2,132,367
Sheldon,,,47,8,15,70
Shoreham,,,53,0,24,77
Shrewsbury,,,56,1,18,75
"S. Burlington",-,"Chittenden 7-1",427,11,242,680
"S. Burlington",-,"Chittenden 7-2",359,11,185,555
"S. Burlington",-,"Chittenden 7-3",348,3,121,472
"S. Burlington",-,"Chittenden 7-4",371,5,162,538
"S. Hero",,,132,4,79,215
Springfield,-,"Windsor 3-1",10,0,1,11
Springfield,-,"Windsor 3-2",209,0,53,262
"St. Albans City",,,293,16,80,389
"St. Albans Town",-,"Franklin 3-1",89,3,13,105
"St. Albans Town",-,"Franklin 3-2",126,8,48,182
"St. George",,,39,0,19,58
"St. Johnsbury",,,155,17,61,233
Stamford,,,33,0,12,45
Stannard,,,12,0,3,15
Starksboro,,,86,1,35,122
Stockbridge,,,25,0,12,37
Stowe,,,118,2,87,207
Strafford,,,184,5,67,256
Stratton,,,3,0,4,7
Sudbury,,,14,0,8,22
Sunderland,-,"Bennington 3",6,0,1,7
Sunderland,-,"Bennington 4",19,0,9,28
Sutton,,,15,1,0,16
Swanton,,,184,18,38,240
Thetford,,,397,4,228,629
Tinmouth,-,"Rutland 2",13,0,0,13
Tinmouth,-,Rutland-Bennington,28,0,8,36
Topsham,,,25,0,12,37
Townshend,,,42,1,20,63
Troy,-,"Orleans 2",10,0,5,15
Troy,-,Orleans-Lamoille,45,13,26,84
Tunbridge,,,92,4,61,157
Underhill,,,225,1,104,330
Vergennes,,,107,3,34,144
Vernon,,,47,2,36,85
Vershire,,,57,0,27,84
Victory,,,5,1,1,7
Waitsfield,,,109,4,61,174
Walden,,,38,0,11,49
Wallingford,,,78,1,29,108
Waltham,,,22,0,15,37
Wardsboro,,,32,0,11,43
Warren,,,64,0,33,97
Washington,,,36,5,21,62
Waterbury,,,264,3,132,399
Waterford,,,30,1,21,52
Waterville,,,13,1,13,27
Weathersfield,,,98,0,22,120
Wells,,,24,0,8,32
"W. Fairlee",,,39,0,12,51
"W. Haven",,,4,0,2,6
"W. Rutland",,,38,2,24,64
"W. Windsor",,,35,0,12,47
Westfield,,,26,5,9,40
Westford,,,105,25,53,183
Westminster,-,"Windham 3",20,1,4,25
Westminster,-,"Windham 4",182,0,51,233
Westmore,,,18,1,3,22
Weston,,,33,0,10,43
Weybridge,,,66,1,22,89
Wheelock,,,14,1,8,23
Whiting,,,22,0,14,36
Whitingham,-,"Windham 6",37,1,11,49
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,106,16,61,183
Williston,,,590,4,252,846
Wilmington,,,54,1,20,75
Windham,,,49,0,25,74
Windsor,,,143,0,30,173
Winhall,,,29,2,13,44
Winooski,,,324,3,150,477
Wolcott,,,52,5,16,73
Woodbury,,,52,1,16,69
Woodford,,,23,0,5,28
Woodstock,,,189,7,85,281
Worcester,,,66,1,31,98
TOTALS,,,"29,009",784,"13,269","43,062"
