City/Town,Ward,Pct,"Richard Lawrence","Martha Feltus",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,28,20,0,8,56
Lyndon,,,87,77,1,29,194
Sutton,,,16,14,2,4,36
TOTALS,,,131,111,3,41,286
