City/Town,Ward,Pct,"Mitzi Johnson","Robert C. Krebs",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Alburgh,,,132,93,3,114,342
"Grand Isle",,,134,127,12,93,366
"Isle La Motte",,,34,27,3,32,96
Milton,,,66,57,25,32,180
"N. Hero",,,58,58,5,55,176
"S. Hero",,,174,176,4,76,430
TOTALS,,,598,538,52,402,"1,590"
