City/Town,Ward,Pct,"Sandy Haas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bethel,,,101,0,19,120
Pittsfield,,,22,0,7,29
Rochester,,,61,1,14,76
Stockbridge,,,28,0,9,37
TOTALS,,,212,1,49,262
