City/Town,Ward,Pct,"Rebecca Ellis","Tom Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,77,70,0,57,204
Huntington,,,162,164,2,98,426
Waterbury,,,323,308,6,159,796
TOTALS,,,562,542,8,314,"1,426"
