City/Town,Ward,Pct,"Carolyn W. Partridge","Matthew A. Trieber","Christopher Moore",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Athens,,,21,21,13,0,14,69
Brookline,,,52,37,9,1,11,110
Grafton,,,94,80,58,0,46,278
Rockingham,,,501,515,463,1,350,"1,830"
Westminster,,,16,18,8,0,8,50
Windham,,,65,62,12,0,9,148
TOTALS,,,749,733,563,2,438,"2,485"
