City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Dummerston,,,-,2,44,46
Putney,,,-,1,35,36
Westminster,,,-,8,54,62
TOTALS,,,-,11,133,144
