City/Town,Ward,Pct,"Philip C. Winters","Rodney Graham",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,37,28,0,15,80
Corinth,,,20,13,5,14,52
Orange,,,24,22,1,9,56
Vershire,,,4,6,0,10,20
Washington,,,24,14,0,13,51
Williamstown,,,58,50,4,22,134
TOTALS,,,167,133,10,83,393
