City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Andover,,,-,0,3,3
Barnard,,,-,0,3,3
Bethel,,,-,0,6,6
Bridgewater,,,-,0,3,3
Chester,,,-,0,3,3
Hartford,-,"Windsor 4-1",-,0,6,6
Hartford,-,"Windsor 4-2",-,7,2,9
Hartland,,,-,3,6,9
Londonderry,,,-,6,21,27
Norwich,,,-,6,21,27
Plymouth,,,-,1,1,2
Rochester,,,-,8,19,27
Royalton,,,-,0,9,9
Sharon,,,-,3,3,6
Springfield,-,"Windsor 3-1",-,0,0,0
Springfield,-,"Windsor 3-2",-,0,6,6
Stockbridge,,,-,2,1,3
Weathersfield,,,-,1,11,12
"W. Windsor",,,-,0,3,3
Weston,,,-,0,3,3
Windsor,,,-,1,5,6
Woodstock,,,-,1,8,9
TOTALS,,,-,39,143,182
