City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Albany,,,-,2,9,11
Barton,,,-,1,5,6
Brighton,,,-,0,2,2
Canaan,,,-,0,2,2
Charleston,,,-,0,4,4
Concord,,,-,2,10,12
Coventry,,,-,0,2,2
Craftsbury,,,-,14,58,72
Derby,,,-,7,12,19
"E. Haven",,,-,0,2,2
Glover,,,-,2,10,12
Greensboro,,,-,1,11,12
Holland,,,-,0,1,1
Irasburg,,,-,3,7,10
Jay,,,-,0,2,2
Lowell,,,-,9,11,20
Montgomery,,,-,0,4,4
Morgan,,,-,0,4,4
"Newport City",,,-,2,8,10
"Newport Town",,,-,3,3,6
Richford,,,-,4,0,4
Troy,-,"Orleans 2",-,0,0,0
Troy,-,Orleans-Lamoille,-,1,5,6
Westfield,,,-,6,20,26
Wolcott,,,-,4,12,16
TOTALS,,,-,61,204,265
