City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,63,0,6,69
Albany,,,32,0,7,39
Alburgh,,,146,0,25,171
Andover,,,33,0,3,36
Arlington,,,93,1,10,104
Athens,,,34,0,11,45
Bakersfield,,,78,1,12,91
Baltimore,,,3,0,0,3
Barnard,,,86,0,6,92
Barnet,,,72,0,4,76
"Barre City",,,363,3,50,416
"Barre Town",,,330,1,72,403
Barton,,,74,2,14,90
Belvidere,,,6,0,3,9
Bennington,-,"Bennington 2-1",471,1,107,579
Bennington,-,"Bennington 2-2",188,0,30,218
Benson,,,43,0,5,48
Berkshire,,,41,2,1,44
Berlin,,,115,3,32,150
Bethel,,,105,0,15,120
Bloomfield,,,8,0,1,9
Bolton,,,91,1,10,102
Bradford,,,95,0,12,107
Braintree,,,104,0,14,118
Brandon,,,171,1,18,190
Brattleboro,-,"Windham 2-1",320,2,32,354
Brattleboro,-,"Windham 2-2",324,0,36,360
Brattleboro,-,"Windham 2-3",594,3,89,686
Bridgewater,,,45,2,11,58
Bridport,,,64,1,8,73
Brighton,,,42,1,11,54
Bristol,,,182,1,24,207
Brookfield,,,141,2,16,159
Brookline,,,50,1,6,57
Brownington,,,25,0,4,29
Brunswick,,,10,0,1,11
Burke,,,43,0,9,52
Burlington,-,"Chittenden 6-1","1,027",11,159,"1,197"
Burlington,-,"Chittenden 6-2",520,11,87,618
Burlington,-,"Chittenden 6-3",458,7,78,543
Burlington,-,"Chittenden 6-4",453,7,53,513
Burlington,-,"Chittenden 6-5","1,210",8,163,"1,381"
Burlington,-,"Chittenden 6-6",132,1,23,156
Burlington,-,"Chittenden 6-7",16,0,3,19
Cabot,,,67,0,17,84
Calais,,,153,0,25,178
Cambridge,,,166,1,30,197
Canaan,,,23,0,4,27
Castleton,,,87,0,22,109
Cavendish,,,74,1,5,80
Charleston,,,20,0,7,27
Charlotte,,,367,3,68,438
Chelsea,,,86,2,26,114
Chester,,,170,3,13,186
Chittenden,,,65,1,14,80
Clarendon,,,68,2,6,76
Colchester,-,"Chittenden 9-1",381,4,80,465
Colchester,-,"Chittenden 9-2",518,2,152,672
Concord,,,44,0,4,48
Corinth,,,114,1,13,128
Cornwall,,,124,1,16,141
Coventry,,,34,0,3,37
Craftsbury,,,63,1,14,78
Danby,,,149,0,18,167
Danville,,,103,1,26,130
Derby,,,126,3,34,163
Dorset,,,74,0,10,84
Dover,,,74,1,13,88
Dummerston,,,215,5,15,235
Duxbury,,,105,2,30,137
"E. Haven",,,14,0,3,17
"E. Montpelier",,,236,3,36,275
Eden,,,32,0,3,35
Elmore,,,61,0,7,68
Enosburgh,,,70,0,8,78
Essex,-,"Chittenden 8-1",447,9,86,542
Essex,-,"Chittenden 8-2",580,10,154,744
Essex,-,"Chittenden 8-3",145,2,28,175
"Fair Haven",,,59,0,17,76
Fairfax,,,146,3,27,176
Fairfield,,,169,0,30,199
Fairlee,,,49,0,11,60
Fayston,,,53,1,13,67
Ferrisburgh,,,164,0,24,188
Fletcher,,,64,1,9,74
Franklin,,,68,0,5,73
Georgia,,,139,2,28,169
Glover,,,92,2,19,113
Goshen,,,21,0,0,21
Grafton,,,108,1,30,139
Granby,,,5,0,2,7
"Grand Isle",,,161,1,22,184
Granville,,,21,0,0,21
Greensboro,,,65,0,11,76
Groton,,,28,0,8,36
Guildhall,,,20,0,3,23
Guilford,,,112,0,7,119
Halifax,,,23,0,0,23
Hancock,,,9,0,4,13
Hardwick,,,119,1,26,146
Hartford,-,"Windsor 4-1",64,0,5,69
Hartford,-,"Windsor 4-2",259,3,14,276
Hartland,,,202,1,15,218
Highgate,,,84,1,9,94
Hinesburg,-,"Chittenden 4-1",1,0,0,1
Hinesburg,-,"Chittenden 4-2",375,3,51,429
Holland,,,14,0,7,21
Hubbardton,,,11,0,6,17
Huntington,,,191,1,21,213
"Hyde Park",,,105,4,31,140
Ira,,,21,0,0,21
Irasburg,,,27,1,3,31
"Isle La Motte",,,41,0,7,48
Jamaica,,,46,0,10,56
Jay,,,22,0,3,25
Jericho,,,426,3,73,502
Johnson,,,78,1,13,92
Killington,,,52,2,23,77
Kirby,,,23,0,5,28
Landgrove,,,15,0,4,19
Leicester,,,36,0,7,43
Lemington,,,2,0,0,2
Lincoln,,,122,1,20,143
Londonderry,,,81,0,5,86
Lowell,,,36,0,6,42
Ludlow,,,79,2,9,90
Lunenburg,,,40,0,5,45
Lyndon,,,106,2,21,129
Maidstone,,,7,0,1,8
Manchester,,,134,1,16,151
Marlboro,,,127,1,9,137
Marshfield,,,86,2,14,102
Mendon,,,56,4,19,79
Middlebury,,,525,2,58,585
Middlesex,,,131,1,18,150
"Middletown Springs",,,37,0,6,43
Milton,-,"Chittenden 10",349,1,87,437
Milton,-,"Grand Isle-Chittenden",78,3,9,90
Monkton,,,137,1,18,156
Montgomery,,,80,1,5,86
Montpelier,,,"1,006",5,156,"1,167"
Moretown,,,79,1,18,98
Morgan,,,35,0,6,41
Morristown,,,221,1,32,254
"Mount Holly",,,58,0,6,64
"Mount Tabor",,,13,0,2,15
"New Haven",,,110,0,22,132
Newark,,,25,0,7,32
Newbury,,,103,1,21,125
Newfane,,,151,1,14,166
"Newport City",,,138,4,19,161
"Newport Town",,,27,0,13,40
"N. Hero",,,70,1,17,88
Northfield,,,189,1,38,228
Norton,,,8,0,2,10
Norwich,,,416,0,42,458
Orange,,,36,1,4,41
Orwell,,,52,1,13,66
Panton,,,34,0,7,41
Pawlet,,,55,0,5,60
Peacham,,,83,1,5,89
Peru,,,30,0,0,30
Pittsfield,,,24,0,5,29
Pittsford,,,87,1,22,110
Plainfield,,,97,0,18,115
Plymouth,,,18,0,2,20
Pomfret,,,73,0,9,82
Poultney,,,62,0,10,72
Pownal,,,113,0,18,131
Proctor,,,63,1,15,79
Putney,,,209,2,15,226
Randolph,,,453,7,62,522
Reading,,,38,0,8,46
Readsboro,,,31,0,0,31
Richford,,,66,0,9,75
Richmond,,,450,2,51,503
Ripton,,,76,0,3,79
Rochester,,,66,1,10,77
Rockingham,,,731,1,183,915
Roxbury,,,37,0,13,50
Royalton,,,132,2,16,150
Rupert,,,33,0,2,35
"Rutland City",-,"Rutland 5-1",213,2,66,281
"Rutland City",-,"Rutland 5-2",126,3,31,160
"Rutland City",-,"Rutland 5-3",94,1,17,112
"Rutland City",-,"Rutland 5-4",134,2,38,174
"Rutland Town",,,175,0,45,220
Ryegate,,,73,2,12,87
Salisbury,,,44,1,10,55
Sandgate,,,25,0,0,25
Searsburg,,,4,0,6,10
Shaftsbury,,,168,1,12,181
Sharon,,,80,0,6,86
Sheffield,,,16,0,3,19
Shelburne,-,"Chittenden 5-1",469,0,64,533
Shelburne,-,"Chittenden 5-2",306,0,61,367
Sheldon,,,66,0,4,70
Shoreham,,,63,0,14,77
Shrewsbury,,,69,0,6,75
"S. Burlington",-,"Chittenden 7-1",554,2,124,680
