City/Town,Ward,Pct,"Janet Ancel",Write-Ins,Blanks,"Total Votes Cast"
,,,
Calais,,,155,1,22,178
Marshfield,,,84,1,16,101
Plainfield,,,95,0,20,115
TOTALS,,,334,2,58,394
