City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,26,0,10,36
Newbury,,,104,0,21,125
Topsham,,,35,0,2,37
TOTALS,,,165,0,33,198
