City/Town,Ward,Pct,"Mickey Smith",Write-Ins,Blanks,"Total Votes Cast"
,,,
Elmore,,,8,4,14,26
Morristown,,,61,32,53,146
Woodbury,,,20,1,33,54
Worcester,,,7,0,13,20
TOTALS,,,96,37,113,246
