City/Town,Ward,Pct,"Connie Quimby","James Fay","James Peyton",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Brunswick,,,2,9,0,0,0,11
Concord,,,96,75,12,3,0,186
Granby,,,10,6,1,1,1,19
Guildhall,,,3,39,4,2,0,48
Kirby,,,25,14,0,0,1,40
Lunenburg,,,39,23,93,22,3,180
Maidstone,,,6,12,2,0,0,20
Victory,,,8,1,0,1,0,10
TOTALS,,,189,179,112,29,5,514
