City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Castleton,,,44,43,0,11,98
"Fair Haven",,,52,47,0,7,106
Hubbardton,,,11,14,0,7,32
"W. Haven",,,6,6,0,2,14
TOTALS,,,113,110,0,27,250
