City/Town,Ward,Pct,"Vicki Strong",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,27,4,27,58
Barton,,,29,9,32,70
Craftsbury,,,25,3,26,54
Glover,,,26,3,25,54
Greensboro,,,13,0,13,26
Sheffield,,,12,4,8,24
Wheelock,,,11,2,17,30
TOTALS,,,143,25,148,316
