City/Town,Ward,Pct,"Mark A. Macdonald","Tig Tillinghast",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,82,35,0,1,118
Brookfield,,,119,36,0,3,158
Chelsea,,,54,56,0,5,115
Corinth,,,104,23,0,1,128
Randolph,,,374,142,0,7,523
Strafford,,,166,88,1,1,256
Thetford,,,489,140,0,0,629
Tunbridge,,,102,45,1,9,157
Vershire,,,69,14,0,1,84
Washington,,,32,28,0,1,61
Williamstown,,,117,64,0,2,183
TOTALS,,,"1,708",671,2,31,"2,412"
