City/Town,Ward,Pct,"Dave Sharpe","Michael Fisher",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,170,159,6,78,413
Lincoln,,,109,115,3,59,286
Monkton,,,125,122,2,67,316
Starksboro,,,95,96,0,53,244
TOTALS,,,499,492,11,257,"1,259"
