City/Town,Ward,Pct,"William H. Sorrell","Thomas Donovan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Addison,,,50,19,2,33,104
Albany,,,15,20,0,4,39
Alburgh,,,86,77,1,7,171
Andover,,,19,17,0,0,36
Arlington,,,53,49,0,1,103
Athens,,,16,6,0,12,34
Bakersfield,,,35,56,0,1,92
Baltimore,,,2,1,0,0,3
Barnard,,,39,48,0,4,91
Barnet,,,42,27,0,7,76
"Barre City",,,179,233,0,4,416
"Barre Town",,,165,234,0,4,403
Barton,,,35,49,0,6,90
Belvidere,,,3,5,0,1,9
Bennington,-,"Bennington 2-1",266,238,0,75,579
Bennington,-,"Bennington 2-2",102,105,0,11,218
Benson,,,37,11,0,0,48
Berkshire,,,23,21,0,0,44
Berlin,,,66,82,0,2,150
Bethel,,,67,53,0,0,120
Bloomfield,,,6,3,0,0,9
Bolton,,,47,54,0,1,102
Bradford,,,40,67,0,0,107
Braintree,,,66,46,0,6,118
Brandon,,,89,98,0,3,190
Brattleboro,-,"Windham 2-1",225,111,0,18,354
Brattleboro,-,"Windham 2-2",221,112,0,27,360
Brattleboro,-,"Windham 2-3",394,230,3,60,687
Bridgewater,,,14,35,0,8,57
Bridport,,,33,34,0,6,73
Brighton,,,24,26,0,4,54
Bristol,,,104,101,0,3,208
Brookfield,,,86,69,0,4,159
Brookline,,,32,15,0,9,56
Brownington,,,15,12,0,2,29
Brunswick,,,5,6,0,0,11
Burke,,,29,20,0,3,52
Burlington,-,"Chittenden 6-1",549,631,2,15,"1,197"
Burlington,-,"Chittenden 6-2",328,278,3,9,618
Burlington,-,"Chittenden 6-3",205,321,1,16,543
Burlington,-,"Chittenden 6-4",240,261,2,10,513
Burlington,-,"Chittenden 6-5",538,819,0,24,"1,381"
Burlington,-,"Chittenden 6-6",70,85,0,1,156
Burlington,-,"Chittenden 6-7",7,12,0,0,19
Cabot,,,48,34,0,2,84
Calais,,,94,82,0,1,177
Cambridge,,,85,107,0,5,197
Canaan,,,13,13,0,1,27
Castleton,,,52,57,0,0,109
Cavendish,,,42,30,0,8,80
Charleston,,,15,11,0,1,27
Charlotte,,,200,234,0,4,438
Chelsea,,,40,62,0,12,114
Chester,,,113,67,2,4,186
Chittenden,,,34,42,0,4,80
Clarendon,,,36,39,0,1,76
Colchester,-,"Chittenden 9-1",218,248,0,1,467
Colchester,-,"Chittenden 9-2",300,374,0,1,675
Concord,,,25,20,0,3,48
Corinth,,,63,52,0,13,128
Cornwall,,,74,67,0,0,141
Coventry,,,25,12,0,0,37
Craftsbury,,,42,33,0,3,78
Danby,,,67,80,0,19,166
Danville,,,50,80,0,0,130
Derby,,,94,62,1,7,164
Dorset,,,49,33,0,2,84
Dover,,,28,40,0,30,98
Dummerston,,,138,83,0,14,235
Duxbury,,,64,69,0,4,137
"E. Haven",,,10,5,0,2,17
"E. Montpelier",,,158,112,0,5,275
Eden,,,19,16,0,0,35
Elmore,,,38,28,0,2,68
Enosburgh,,,30,47,0,1,78
Essex,-,"Chittenden 8-1",269,263,1,9,542
Essex,-,"Chittenden 8-2",324,406,0,14,744
Essex,-,"Chittenden 8-3",89,84,1,1,175
"Fair Haven",,,33,40,0,3,76
Fairfax,,,86,86,1,3,176
Fairfield,,,83,103,0,14,200
Fairlee,,,15,41,0,4,60
Fayston,,,37,30,0,0,67
Ferrisburgh,,,88,99,0,1,188
Fletcher,,,45,29,0,1,75
Franklin,,,34,34,0,4,72
Georgia,,,78,90,1,0,169
Glover,,,52,44,0,17,113
Goshen,,,12,8,0,1,21
Grafton,,,62,50,2,25,139
Granby,,,4,2,0,1,7
"Grand Isle",,,98,84,0,2,184
Granville,,,11,9,0,1,21
Greensboro,,,39,34,1,2,76
Groton,,,17,18,0,0,35
Guildhall,,,8,14,0,1,23
Guilford,,,74,43,0,2,119
Halifax,,,13,10,0,0,23
Hancock,,,5,8,0,0,13
