City/Town,Ward,Pct,"Susan Hatch Davis","John H. Taylor",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Chelsea,,,1,1,0,0,2
Corinth,,,7,3,0,6,16
Orange,,,1,2,0,1,4
Vershire,,,1,0,1,4,6
Washington,,,3,3,0,0,6
Williamstown,,,2,3,0,3,8
TOTALS,,,15,12,1,14,42
