City/Town,Ward,Pct,"Sam Young",Write-Ins,Blanks,"Total Votes Cast"
,,,
Albany,,,31,6,41,78
Barton,,,77,23,85,185
Craftsbury,,,66,8,82,156
Glover,,,98,12,116,226
Greensboro,,,69,3,80,152
Sheffield,,,16,2,20,38
Wheelock,,,16,3,27,46
TOTALS,,,373,57,451,881
