City/Town,Ward,Pct,"Mike Mrowicki","David L. Deen",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dummerston,,,206,201,4,59,470
Putney,,,209,198,2,43,452
Westminster,,,201,205,0,60,466
TOTALS,,,616,604,6,162,"1,388"
