City/Town,Ward,Pct,"Albert Pearce","Steve Beyor",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,67,38,0,30,135
Franklin,,,47,33,13,55,148
Highgate,,,80,123,2,69,274
Richford,,,36,24,0,16,76
TOTALS,,,230,218,15,170,633
