City/Town,Ward,Pct,"Stephen A. Carr",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brandon,,,171,19,190,380
Pittsford,,,85,19,116,220
Sudbury,,,17,1,26,44
TOTALS,,,273,39,332,644
