City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Addison,,,-,4,31,35
Albany,,,-,3,26,29
Alburgh,,,-,5,100,105
Andover,,,-,0,18,18
Arlington,,,-,0,25,25
Athens,,,-,2,9,11
Bakersfield,,,-,1,35,36
Baltimore,,,-,0,10,10
Barnard,,,-,1,29,30
Barnet,,,-,6,43,49
"Barre City",,,-,16,120,136
"Barre Town",,,-,18,169,187
Barton,,,-,8,27,35
Belvidere,,,-,2,7,9
Bennington,-,"Bennington 2-1",-,3,28,31
Bennington,-,"Bennington 2-2",-,2,41,43
Benson,,,-,1,23,24
Berkshire,,,-,5,68,73
Berlin,,,-,6,69,75
Bethel,,,-,3,19,22
Bloomfield,,,-,0,2,2
Bolton,,,-,1,13,14
Bradford,,,-,3,35,38
Braintree,,,-,1,14,15
Brandon,,,-,4,88,92
Brattleboro,-,"Windham 2-1",-,2,39,41
Brattleboro,-,"Windham 2-2",-,2,28,30
Brattleboro,-,"Windham 2-3",-,1,19,20
Bridgewater,,,-,1,10,11
Bridport,,,-,1,33,34
Brighton,,,-,1,32,33
Bristol,,,-,2,44,46
Brookfield,,,-,0,5,5
Brookline,,,-,4,9,13
Brownington,,,-,1,15,16
Brunswick,,,-,0,11,11
Burke,,,-,6,22,28
Burlington,-,"Chittenden 6-1",-,10,121,131
Burlington,-,"Chittenden 6-2",-,1,21,22
Burlington,-,"Chittenden 6-3",-,2,24,26
Burlington,-,"Chittenden 6-4",-,2,17,19
Burlington,-,"Chittenden 6-5",-,6,36,42
Burlington,-,"Chittenden 6-6",-,1,4,5
Burlington,-,"Chittenden 6-7",-,0,0,0
Cabot,,,-,0,14,14
Calais,,,-,1,21,22
Cambridge,,,-,4,44,48
Canaan,,,-,1,27,28
Castleton,,,-,10,39,49
Cavendish,,,-,3,51,54
Charleston,,,-,4,23,27
Charlotte,,,-,1,35,36
Chelsea,,,-,2,38,40
Chester,,,-,3,47,50
Chittenden,,,-,2,15,17
Clarendon,,,-,1,30,31
Colchester,-,"Chittenden 9-1",-,4,55,59
Colchester,-,"Chittenden 9-2",-,5,82,87
Concord,,,-,11,175,186
Corinth,,,-,1,25,26
Cornwall,,,-,0,13,13
Coventry,,,-,4,26,30
Craftsbury,,,-,3,24,27
Danby,,,-,5,105,110
Danville,,,-,2,32,34
Derby,,,-,7,56,63
Dorset,,,-,2,26,28
Dover,,,-,4,53,57
Dummerston,,,-,1,22,23
Duxbury,,,-,2,0,2
"E. Haven",,,-,1,6,7
"E. Montpelier",,,-,2,44,46
Eden,,,-,0,12,12
Elmore,,,-,1,12,13
