City/Town,Ward,Pct,"Don Schramm",Write-Ins,Blanks,"Total Votes Cast"
Tinmouth,-,Rutland-Bennington,3,0,4,7
Townshend,,,2,0,0,2
Troy,-,"Orleans 2",0,0,0,0
Troy,-,Orleans-Lamoille,1,0,2,3
Tunbridge,,,2,0,0,2
Underhill,,,5,0,0,5
Vernon,,,2,0,1,3
Vershire,,,1,1,1,3
Waitsfield,,,1,1,4,6
Walden,,,1,1,7,9
Wallingford,,,1,1,3,5
Waltham,,,1,0,0,1
Warren,,,1,0,1,2
Washington,,,3,0,0,3
Waterbury,,,4,1,3,8
Waterville,,,0,0,1,1
Weathersfield,,,4,0,0,4
Wells,,,1,0,0,1
"W. Fairlee",,,1,0,0,1
"W. Rutland",,,6,1,0,7
"W. Windsor",,,1,0,0,1
Westfield,,,4,1,8,13
Westford,,,1,0,0,1
Westminster,-,"Windham 3",0,0,0,0
Westminster,-,"Windham 4",3,0,4,7
Weston,,,1,0,0,1
Wheelock,,,1,0,0,1
Whitingham,-,"Windham 6",1,0,0,1
Whitingham,-,Windham-Bennington,0,0,0,0
Williamstown,,,3,0,1,4
Williston,,,3,0,4,7
Wilmington,,,1,0,1,2
Windham,,,0,0,1,1
Windsor,,,2,0,0,2
Winhall,,,1,0,2,3
Winooski,,,9,1,6,16
Wolcott,,,3,1,4,8
Woodbury,,,2,0,3,5
Woodstock,,,1,0,2,3
Worcester,,,1,0,0,1
TOTALS,,,456,48,374,878
