City/Town,Ward,Pct,"Wendy Wilton",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",46,0,5,51
"Rutland Town",,,124,1,17,142
Ryegate,,,15,0,2,17
Salisbury,,,10,0,1,11
Sandgate,,,5,0,1,6
Searsburg,,,2,0,1,3
Shaftsbury,,,27,1,5,33
Sharon,,,20,0,7,27
Sheffield,,,9,0,3,12
Shelburne,-,"Chittenden 5-1",78,2,16,96
Shelburne,-,"Chittenden 5-2",61,0,9,70
Sheldon,,,38,0,8,46
Shoreham,,,13,0,2,15
Shrewsbury,,,26,0,2,28
"S. Burlington",-,"Chittenden 7-1",39,1,10,50
"S. Burlington",-,"Chittenden 7-2",71,0,12,83
"S. Burlington",-,"Chittenden 7-3",36,2,14,52
"S. Burlington",-,"Chittenden 7-4",66,0,13,79
"S. Hero",,,31,0,7,38
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",77,0,7,84
"St. Albans City",,,226,5,78,309
"St. Albans Town",-,"Franklin 3-1",102,1,20,123
"St. Albans Town",-,"Franklin 3-2",164,1,45,210
"St. George",,,5,1,2,8
"St. Johnsbury",,,73,0,10,83
Stamford,,,9,1,1,11
Stannard,,,2,0,0,2
Starksboro,,,31,0,1,32
Stockbridge,,,13,0,1,14
Stowe,,,33,0,5,38
Strafford,,,15,0,1,16
Stratton,,,4,0,0,4
Sudbury,,,16,0,3,19
Sunderland,-,"Bennington 3",0,0,0,0
Sunderland,-,"Bennington 4",6,0,1,7
Sutton,,,11,0,8,19
Swanton,,,194,2,45,241
Thetford,,,9,2,4,15
Tinmouth,-,"Rutland 2",2,0,0,2
Tinmouth,-,Rutland-Bennington,8,0,0,8
Topsham,,,22,0,6,28
Townshend,,,19,0,2,21
Troy,-,"Orleans 2",7,0,2,9
Troy,-,Orleans-Lamoille,7,0,3,10
Tunbridge,,,24,0,5,29
Underhill,,,45,0,1,46
Vergennes,,,20,0,8,28
Vernon,,,51,0,10,61
Vershire,,,8,0,2,10
Victory,,,6,0,4,10
Waitsfield,,,25,0,2,27
Walden,,,17,0,2,19
Wallingford,,,34,0,3,37
Waltham,,,0,0,2,2
Wardsboro,,,9,0,2,11
Warren,,,11,0,5,16
Washington,,,22,0,5,27
Waterbury,,,39,0,9,48
Waterford,,,14,0,5,19
Waterville,,,6,0,4,10
Weathersfield,,,39,0,4,43
Wells,,,11,0,2,13
"W. Fairlee",,,5,0,1,6
"W. Haven",,,7,0,0,7
"W. Rutland",,,27,0,5,32
"W. Windsor",,,15,0,6,21
Westfield,,,8,1,6,15
Westford,,,19,0,0,19
Westminster,-,"Windham 3",0,0,1,1
Westminster,-,"Windham 4",28,0,3,31
Westmore,,,5,0,4,9
Weston,,,13,0,5,18
Weybridge,,,7,0,4,11
Wheelock,,,12,1,2,15
Whiting,,,15,0,1,16
Whitingham,-,"Windham 6",18,0,1,19
Whitingham,-,Windham-Bennington,2,0,0,2
Williamstown,,,53,6,8,67
Williston,,,90,2,23,115
Wilmington,,,23,0,6,29
Windham,,,6,0,0,6
Windsor,,,40,0,3,43
Winhall,,,14,0,3,17
Winooski,,,33,0,11,44
Wolcott,,,15,0,7,22
Woodbury,,,22,0,5,27
Woodford,,,0,0,1,1
Woodstock,,,55,2,14,71
Worcester,,,7,0,3,10
TOTALS,,,"8,187",97,"2,128","10,412"
