City/Town,Ward,Pct,"Lynn D. Batchelor","Loren T. Shaw",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,11,13,0,8,32
Charleston,,,24,24,0,6,54
Derby,,,54,50,2,26,132
Holland,,,9,8,0,5,22
Morgan,,,21,16,0,9,46
TOTALS,,,119,111,2,54,286
