City/Town,Ward,Pct,"Mark Higley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Eden,,,6,2,3,11
Jay,,,10,0,0,10
Lowell,,,22,3,2,27
Troy,,,8,0,2,10
Westfield,,,14,0,0,14
TOTALS,,,60,5,7,72
