City/Town,Ward,Pct,"Bernie Sanders",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",126,8,40,174
"Rutland Town",,,169,3,48,220
Ryegate,,,71,0,16,87
Salisbury,,,46,1,8,55
Sandgate,,,25,0,0,25
Searsburg,,,5,0,5,10
Shaftsbury,,,168,1,12,181
Sharon,,,81,1,4,86
Sheffield,,,16,0,3,19
Shelburne,-,"Chittenden 5-1",450,0,83,533
Shelburne,-,"Chittenden 5-2",283,5,79,367
Sheldon,,,63,1,6,70
Shoreham,,,64,0,13,77
Shrewsbury,,,67,0,8,75
"S. Burlington",-,"Chittenden 7-1",527,6,147,680
"S. Burlington",-,"Chittenden 7-2",430,11,115,556
"S. Burlington",-,"Chittenden 7-3",416,4,52,472
"S. Burlington",-,"Chittenden 7-4",434,15,89,538
"S. Hero",,,171,2,42,215
Springfield,-,"Windsor 3-1",10,0,1,11
Springfield,-,"Windsor 3-2",236,3,23,262
"St. Albans City",,,354,6,29,389
"St. Albans Town",-,"Franklin 3-1",99,1,5,105
"St. Albans Town",-,"Franklin 3-2",155,2,25,182
"St. George",,,50,0,8,58
"St. Johnsbury",,,203,5,26,234
Stamford,,,37,0,8,45
Stannard,,,15,0,0,15
Starksboro,,,105,1,16,122
Stockbridge,,,32,0,5,37
Stowe,,,154,3,47,204
Strafford,,,240,1,15,256
Stratton,,,6,0,1,7
Sudbury,,,21,0,1,22
Sunderland,-,"Bennington 3",7,0,0,7
Sunderland,-,"Bennington 4",22,0,5,27
Sutton,,,19,0,4,23
Swanton,,,224,2,14,240
Thetford,,,577,0,51,628
Tinmouth,-,"Rutland 2",16,0,2,18
Tinmouth,-,Rutland-Bennington,35,0,1,36
Topsham,,,32,0,5,37
Townshend,,,57,1,5,63
Troy,-,"Orleans 2",13,0,2,15
Troy,-,Orleans-Lamoille,68,1,15,84
Tunbridge,,,132,3,22,157
Underhill,,,282,1,47,330
Vergennes,,,125,2,17,144
Vernon,,,65,1,19,85
Vershire,,,76,1,7,84
Victory,,,7,0,0,7
Waitsfield,,,156,2,16,174
Walden,,,43,0,6,49
Wallingford,,,99,1,8,108
Waltham,,,32,0,5,37
Wardsboro,,,40,0,3,43
Warren,,,84,0,13,97
Washington,,,56,0,6,62
Waterbury,,,337,4,58,399
Waterford,,,43,1,8,52
