City/Town,Ward,Pct,"Dennis J. Devereux",Write-Ins,Blanks,"Total Votes Cast"
,,,
Ludlow,,,33,0,0,33
"Mount Holly",,,31,0,4,35
Shrewsbury,,,26,1,1,28
TOTALS,,,90,1,5,96
