City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Berkshire,,,-,30,58,88
Franklin,,,-,62,84,146
Highgate,,,-,34,154,188
Richford,,,-,33,117,150
TOTALS,,,-,159,413,572
