City/Town,Ward,Pct,"Maxine Grad",Write-Ins,Blanks,"Total Votes Cast"
,,,
Duxbury,,,95,4,175,274
Fayston,,,53,3,78,134
Moretown,,,73,4,119,196
Waitsfield,,,143,13,192,348
Warren,,,78,4,112,194
TOTALS,,,442,28,676,"1,146"
