City/Town,Ward,Pct,"Bill Frank","George Till",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Jericho,,,374,400,6,228,"1,008"
Underhill,,,263,233,3,159,658
TOTALS,,,637,633,9,387,"1,666"
