City/Town,Ward,Pct,"Dave Potter","Ken Fredette",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Clarendon,,,59,37,2,54,152
Proctor,,,55,43,0,60,158
Tinmouth,,,13,11,0,12,36
Wallingford,,,74,80,2,60,216
"W. Rutland",,,44,33,0,51,128
TOTALS,,,245,204,4,237,690
