City/Town,Ward,Pct,"Beth Pearce",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",107,4,63,174
"Rutland Town",,,138,6,76,220
Ryegate,,,66,0,20,86
Salisbury,,,32,0,23,55
Sandgate,,,17,0,8,25
Searsburg,,,2,0,8,10
Shaftsbury,,,137,2,42,181
Sharon,,,68,0,18,86
Sheffield,,,9,1,9,19
Shelburne,-,"Chittenden 5-1",381,0,152,533
Shelburne,-,"Chittenden 5-2",237,0,130,367
Sheldon,,,49,4,17,70
Shoreham,,,51,0,26,77
Shrewsbury,,,57,1,17,75
"S. Burlington",-,"Chittenden 7-1",433,4,242,679
"S. Burlington",-,"Chittenden 7-2",355,6,195,556
"S. Burlington",-,"Chittenden 7-3",351,5,116,472
"S. Burlington",-,"Chittenden 7-4",358,3,177,538
"S. Hero",,,138,2,75,215
Springfield,-,"Windsor 3-1",11,0,0,11
Springfield,-,"Windsor 3-2",211,0,51,262
"St. Albans City",,,306,8,75,389
"St. Albans Town",-,"Franklin 3-1",85,0,20,105
"St. Albans Town",-,"Franklin 3-2",127,2,53,182
"St. George",,,38,0,20,58
"St. Johnsbury",,,155,7,71,233
Stamford,,,36,0,9,45
Stannard,,,11,0,4,15
Starksboro,,,87,0,35,122
Stockbridge,,,27,0,10,37
Stowe,,,124,1,82,207
Strafford,,,187,3,66,256
Stratton,,,3,0,4,7
Sudbury,,,15,0,7,22
Sunderland,-,"Bennington 3",5,0,2,7
Sunderland,-,"Bennington 4",20,0,8,28
Sutton,,,15,1,7,23
Swanton,,,196,2,42,240
Thetford,,,416,3,210,629
Tinmouth,-,"Rutland 2",13,0,5,18
Tinmouth,-,Rutland-Bennington,30,0,6,36
Topsham,,,24,0,13,37
Townshend,,,41,1,21,63
Troy,-,"Orleans 2",9,0,6,15
Troy,-,Orleans-Lamoille,55,2,27,84
Tunbridge,,,106,4,47,157
Underhill,,,224,1,104,329
Vergennes,,,103,1,40,144
Vernon,,,55,0,30,85
Vershire,,,63,0,21,84
Victory,,,5,0,2,7
Waitsfield,,,109,2,63,174
Walden,,,32,0,17,49
Wallingford,,,78,2,28,108
Waltham,,,20,0,17,37
Wardsboro,,,29,0,14,43
Warren,,,70,0,27,97
Washington,,,44,0,18,62
Waterbury,,,267,1,130,398
Waterford,,,28,1,23,52
Waterville,,,12,0,15,27
Weathersfield,,,105,0,15,120
Wells,,,25,0,7,32
"W. Fairlee",,,38,1,12,51
"W. Haven",,,4,0,2,6
"W. Rutland",,,41,1,22,64
"W. Windsor",,,33,2,12,47
Westfield,,,31,1,8,40
Westford,,,109,2,48,159
Westminster,-,"Windham 3",21,0,4,25
Westminster,-,"Windham 4",183,1,49,233
Westmore,,,18,0,4,22
Weston,,,36,0,7,43
Weybridge,,,74,1,14,89
Wheelock,,,14,0,9,23
Whiting,,,24,0,12,36
Whitingham,-,"Windham 6",38,0,11,49
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,129,3,51,183
Williston,,,584,5,256,845
Wilmington,,,58,1,16,75
Windham,,,53,0,21,74
Windsor,,,146,0,26,172
Winhall,,,30,2,12,44
Winooski,,,315,1,161,477
Wolcott,,,55,2,16,73
Woodbury,,,50,3,16,69
Woodford,,,25,0,3,28
Woodstock,,,201,2,78,281
Worcester,,,72,0,26,98
TOTALS,,,"29,824",394,"12,914","43,132"
