City/Town,Ward,Pct,"Mitt Romney","Ron Paul","Rick Santorum","Newt Gingrich","Jon Huntsman","Rick Perry",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
Lunenburg,,,74,36,49,12,5,1,1,0,0,178
Lyndon,,,143,103,83,26,3,1,0,0,0,359
Maidstone,,,14,7,11,1,1,0,1,0,0,35
Manchester,,,246,111,118,49,17,4,1,0,0,546
Marlboro,,,20,25,8,2,1,0,1,0,0,57
Marshfield,,,34,53,41,11,0,2,2,0,0,143
Mendon,,,83,40,25,9,1,0,0,1,0,159
Middlebury,,,200,121,108,46,23,6,3,7,0,514
Middlesex,,,53,63,37,19,2,1,1,13,0,189
"Middletown Springs",,,62,41,56,14,0,0,0,0,0,173
Milton,,,376,198,261,86,8,6,4,10,0,949
Monkton,,,91,82,54,14,6,6,1,0,0,254
Montgomery,,,9,18,16,5,1,0,0,0,0,49
Montpelier,,,314,295,187,57,31,5,12,6,0,907
Moretown,,,72,44,48,11,2,2,7,0,0,186
Morgan,,,43,13,20,3,2,0,0,1,0,82
Morristown,,,130,142,95,38,8,1,2,0,0,416
"Mount Holly",,,62,67,47,12,4,1,1,0,0,194
"Mount Tabor",,,10,5,7,0,0,0,0,0,0,22
"New Haven",,,69,49,55,20,5,1,2,0,0,201
Newark,,,18,30,1,1,1,0,0,0,0,51
Newbury,,,55,37,31,13,2,0,1,1,0,140
Newfane,,,61,35,29,9,4,2,1,0,0,141
"Newport City",,,158,121,118,47,3,9,5,0,0,461
"Newport Town",,,47,29,32,8,1,1,0,0,0,118
"N. Hero",,,87,31,29,8,3,3,1,2,0,164
Northfield,,,236,139,141,50,16,5,0,0,0,587
Norton,,,16,10,6,3,2,0,0,1,0,38
Norwich,,,106,77,70,14,20,2,3,0,0,292
Orange,,,45,27,37,12,1,1,1,1,0,125
Orwell,,,70,56,44,18,3,0,1,8,0,200
Panton,,,18,10,14,6,1,0,0,1,0,50
Pawlet,,,70,38,47,10,4,4,0,3,0,176
Peacham,,,29,11,7,7,2,0,2,1,0,59
Peru,,,19,11,3,7,3,1,2,2,0,48
Pittsfield,,,31,12,8,6,1,0,0,0,0,58
Pittsford,,,110,94,6,39,5,5,0,85,0,344
Plainfield,,,24,33,13,6,3,9,0,3,0,91
Plymouth,,,50,32,24,9,1,1,0,0,0,117
Pomfret,,,32,21,15,4,3,0,0,0,0,75
Poultney,,,98,72,83,23,5,1,0,0,0,282
Pownal,,,97,47,93,35,4,8,0,3,0,287
Proctor,,,79,38,53,10,3,2,0,0,0,185
Putney,,,37,35,38,14,5,1,1,3,0,134
Randolph,,,230,157,185,55,15,5,6,7,0,660
Reading,,,23,20,4,6,1,0,0,0,0,54
Readsboro,,,37,25,41,6,2,1,1,2,0,115
Richford,,,61,40,56,26,2,3,1,3,0,192
Richmond,,,156,114,122,32,9,1,5,5,0,444
Ripton,,,25,16,15,1,4,0,0,0,0,61
Rochester,,,39,19,15,3,2,0,0,0,0,78
Rockingham,,,170,115,81,20,13,4,3,7,0,413
Roxbury,,,10,32,13,4,3,0,0,0,0,62
Royalton,,,68,56,48,13,4,2,1,0,0,192
Rupert,,,43,16,23,16,3,1,0,2,0,104
"Rutland City",,,769,361,386,167,23,14,14,0,0,"1,734"
"Rutland Town",,,396,128,166,60,7,6,5,0,0,768
Ryegate,,,60,33,19,14,5,2,1,0,0,134
Salisbury,,,45,24,32,13,0,1,3,0,0,118
Sandgate,,,11,14,11,8,2,1,1,1,0,49
Searsburg,,,12,10,8,4,0,0,0,0,0,34
Shaftsbury,,,176,91,119,54,7,0,2,4,0,453
Sharon,,,52,54,21,11,2,2,1,3,0,146
Sheffield,,,21,26,14,6,0,1,0,2,0,70
Shelburne,,,405,162,148,57,18,7,7,1,0,805
Sheldon,,,55,40,35,9,1,0,2,0,0,142
Shoreham,,,38,42,40,19,3,1,0,4,0,147
Shrewsbury,,,71,46,46,14,1,0,0,0,0,178
"S. Burlington",,,762,353,341,113,31,10,16,0,0,"1,626"
"S. Hero",,,103,57,54,13,5,2,1,3,0,238
Springfield,,,353,248,240,62,16,9,3,1,0,932
"St. Albans City",,,228,145,114,56,4,7,3,1,0,558
"St. Albans Town",,,339,160,188,73,12,3,1,5,0,781
"St. George",,,11,16,14,3,0,0,0,0,0,44
"St. Johnsbury",,,322,214,200,60,11,5,2,0,0,814
Stamford,,,42,29,33,21,4,2,0,1,0,132
Stannard,,,1,11,2,1,0,1,0,0,0,16
Starksboro,,,50,58,42,10,6,0,0,2,0,168
Stockbridge,,,25,10,9,3,1,0,0,0,0,48
Stowe,,,370,167,144,57,20,4,8,6,0,776
Strafford,,,33,16,10,1,0,1,0,0,0,61
Stratton,,,21,3,2,2,0,0,0,0,0,28
Sudbury,,,30,8,13,5,1,0,1,0,0,58
Sunderland,,,40,29,25,15,0,0,0,0,0,109
Sutton,,,36,41,27,9,0,0,1,0,0,114
Swanton,,,229,136,150,60,2,9,7,0,0,593
Thetford,,,81,65,55,14,9,3,2,2,0,231
Tinmouth,,,39,44,16,8,4,1,4,0,0,116
Topsham,,,28,7,24,6,3,0,0,0,0,68
Townshend,,,28,12,23,6,2,0,0,0,0,71
Troy,,,26,35,30,8,2,0,0,0,0,101
Tunbridge,,,33,23,21,7,3,0,1,0,0,88
Underhill,,,148,110,93,28,10,2,6,2,0,399
Vergennes,,,84,59,106,21,4,6,0,3,0,283
Vernon,,,176,77,88,28,9,2,1,4,0,385
Vershire,,,26,35,17,8,1,0,0,1,0,88
Victory,,,4,6,4,3,0,0,0,0,0,17
Waitsfield,,,92,57,34,14,5,0,1,0,0,203
Walden,,,35,31,21,5,0,0,0,0,0,92
Wallingford,,,83,74,57,12,5,5,0,4,0,240
Waltham,,,17,19,7,3,1,0,2,0,0,49
Wardsboro,,,20,13,7,2,0,1,0,0,0,43
Warren,,,56,36,26,9,5,1,1,0,0,134
Washington,,,36,21,32,14,1,1,0,0,0,105
Waterbury,,,197,158,111,40,11,6,3,0,0,526
Waterford,,,49,29,46,12,2,1,0,0,0,139
Waterville,,,9,13,19,4,0,0,3,0,0,48
Weathersfield,,,133,73,67,35,10,1,2,3,0,324
Wells,,,65,33,21,21,1,0,0,2,0,143
"W. Fairlee",,,36,18,18,4,1,0,1,0,0,78
"W. Haven",,,14,11,5,2,5,0,0,0,0,37
"W. Rutland",,,93,50,63,25,4,4,0,1,0,240
"W. Windsor",,,95,44,27,13,3,1,1,1,0,185
Westfield,,,22,23,10,9,0,0,0,1,0,65
Westford,,,86,73,81,26,7,6,0,0,0,279
Westminster,,,88,56,66,15,3,1,1,0,0,230
Westmore,,,23,6,5,6,1,0,0,0,0,41
Weston,,,42,18,15,3,1,1,1,0,0,81
Weybridge,,,42,23,23,10,4,0,0,0,0,102
Wheelock,,,33,36,20,7,2,2,0,1,0,101
Whiting,,,5,11,10,5,1,1,0,0,0,33
Whitingham,,,41,37,29,6,1,2,1,0,0,117
Williamstown,,,113,57,72,26,4,3,1,1,0,277
Williston,,,404,207,194,61,16,1,3,3,0,889
Wilmington,,,113,78,55,31,9,6,2,3,0,297
Windham,,,10,7,6,1,1,0,0,0,0,25
Windsor,,,129,72,74,39,8,4,4,6,0,336
Winhall,,,53,27,28,6,1,0,0,0,0,115
Winooski,,,118,103,83,30,10,5,2,1,0,352
Wolcott,,,24,28,30,6,3,0,1,0,0,92
Woodbury,,,9,24,17,5,0,0,1,0,0,56
Woodford,,,16,17,20,7,1,0,3,0,0,64
Woodstock,,,180,115,62,20,7,1,0,3,0,388
Worcester,,,26,34,24,12,1,2,1,1,0,101
TOTALS,,,"24,008","15,391","14,368","4,949","1,198",544,392,557,0,"61,407"
