City/Town,Ward,Pct,"Teo Zagar",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,88,1,3,92
Hartford,,,49,3,17,69
Pomfret,,,65,0,17,82
TOTALS,,,202,4,37,243
