City/Town,Ward,Pct,"Sarah E. Buxton",Write-Ins,Blanks,"Total Votes Cast"
,,,
Royalton,,,132,3,16,151
Tunbridge,,,131,9,17,157
TOTALS,,,263,12,33,308
