City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 9-1",357,6,104,467
Colchester,-,"Chittenden 9-2",503,1,170,674
"Grand Isle",,,154,0,30,184
"Isle La Motte",,,38,1,9,48
"N. Hero",,,65,0,23,88
"S. Hero",,,171,0,44,215
TOTALS,,,"1,288",8,380,"1,676"
