City/Town,Ward,Pct,"Kristina I. Michelsen",Write-Ins,Blanks,"Total Votes Cast"
,,,
Hardwick,,,104,4,38,146
Stannard,,,14,0,1,15
Walden,,,39,1,9,49
TOTALS,,,157,5,48,210
