City/Town,Ward,Pct,"James C. Condos",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",111,1,62,174
"Rutland Town",,,142,0,78,220
Ryegate,,,73,1,13,87
Salisbury,,,36,0,19,55
Sandgate,,,19,0,6,25
Searsburg,,,1,0,9,10
Shaftsbury,,,145,0,36,181
Sharon,,,69,0,17,86
Sheffield,,,14,0,5,19
Shelburne,-,"Chittenden 5-1",430,0,103,533
Shelburne,-,"Chittenden 5-2",271,0,96,367
Sheldon,,,55,0,15,70
Shoreham,,,57,0,20,77
Shrewsbury,,,58,0,17,75
"S. Burlington",-,"Chittenden 7-1",489,4,187,680
"S. Burlington",-,"Chittenden 7-2",408,2,146,556
"S. Burlington",-,"Chittenden 7-3",385,2,84,471
"S. Burlington",-,"Chittenden 7-4",392,7,139,538
"S. Hero",,,156,0,59,215
Springfield,-,"Windsor 3-1",11,0,0,11
Springfield,-,"Windsor 3-2",216,0,46,262
"St. Albans City",,,321,2,66,389
"St. Albans Town",-,"Franklin 3-1",92,1,12,105
"St. Albans Town",-,"Franklin 3-2",142,1,39,182
"St. George",,,41,0,17,58
"St. Johnsbury",,,185,2,46,233
Stamford,,,35,0,10,45
Stannard,,,11,0,4,15
Starksboro,,,90,0,32,122
Stockbridge,,,28,0,9,37
Stowe,,,134,1,72,207
Strafford,,,200,2,54,256
Stratton,,,5,0,2,7
Sudbury,,,14,1,7,22
Sunderland,-,"Bennington 3",6,0,1,7
Sunderland,-,"Bennington 4",20,0,8,28
Sutton,,,17,0,6,23
Swanton,,,209,0,31,240
Thetford,,,420,0,208,628
Tinmouth,-,"Rutland 2",12,0,5,17
Tinmouth,-,Rutland-Bennington,28,1,7,36
Topsham,,,27,0,10,37
Townshend,,,44,0,19,63
Troy,-,"Orleans 2",8,0,7,15
Troy,-,Orleans-Lamoille,56,0,27,83
Tunbridge,,,110,1,46,157
Underhill,,,244,2,84,330
Vergennes,,,109,0,35,144
Vernon,,,55,0,30,85
Vershire,,,65,0,19,84
Victory,,,6,0,1,7
Waitsfield,,,126,2,46,174
Walden,,,38,0,11,49
Wallingford,,,82,0,26,108
Waltham,,,26,0,11,37
Wardsboro,,,30,0,12,42
Warren,,,74,1,22,97
Washington,,,42,0,19,61
Waterbury,,,292,0,107,399
Waterford,,,38,0,14,52
Waterville,,,16,0,11,27
Weathersfield,,,105,0,15,120
Wells,,,24,0,8,32
"W. Fairlee",,,39,0,12,51
"W. Haven",,,4,0,2,6
"W. Rutland",,,42,2,20,64
"W. Windsor",,,40,0,7,47
Westfield,,,32,0,8,40
Westford,,,126,0,34,160
Westminster,-,"Windham 3",21,0,4,25
Westminster,-,"Windham 4",199,0,34,233
Westmore,,,18,0,4,22
Weston,,,35,1,7,43
Weybridge,,,71,0,18,89
Wheelock,,,14,0,9,23
Whiting,,,24,0,12,36
Whitingham,-,"Windham 6",38,0,11,49
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,127,0,56,183
Williston,,,650,2,194,846
Wilmington,,,53,0,22,75
Windham,,,55,0,19,74
Windsor,,,151,1,21,173
Winhall,,,32,0,12,44
Winooski,,,358,0,119,477
Wolcott,,,56,0,17,73
Woodbury,,,54,0,15,69
Woodford,,,25,0,3,28
Woodstock,,,213,0,68,281
Worcester,,,73,0,25,98
TOTALS,,,"32,131",113,"10,799","43,043"
