City/Town,Ward,Pct,"Claudette Sortino",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,64,2,10,76
Ryegate,,,74,1,12,87
Waterford,,,35,2,15,52
TOTALS,,,173,5,37,215
