City/Town,Ward,Pct,"Peter Shumlin",Write-Ins,Blanks,"Total Votes Cast"
Vernon,,,50,3,31,84
Vershire,,,71,5,8,84
Victory,,,4,3,0,7
Waitsfield,,,145,7,21,173
Walden,,,37,1,11,49
Wallingford,,,94,1,13,108
Waltham,,,30,0,7,37
Wardsboro,,,37,1,5,43
Warren,,,80,2,15,97
Washington,,,48,4,9,61
Waterbury,,,287,12,100,399
Waterford,,,35,2,15,52
Waterville,,,21,0,6,27
Weathersfield,,,109,1,10,120
Wells,,,26,0,6,32
"W. Fairlee",,,43,1,7,51
"W. Haven",,,6,0,0,6
"W. Rutland",,,44,4,16,64
"W. Windsor",,,39,3,5,47
Westfield,,,28,4,8,40
Westford,,,137,1,22,160
Westminster,-,"Windham 3",20,1,4,25
Westminster,-,"Windham 4",216,2,15,233
Westmore,,,17,0,4,21
Weston,,,39,0,4,43
Weybridge,,,80,3,6,89
Wheelock,,,17,0,6,23
Whiting,,,27,1,8,36
Whitingham,-,"Windham 6",44,0,5,49
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,130,15,37,182
Williston,,,672,15,153,840
Wilmington,,,60,1,14,75
Windham,,,65,1,8,74
Windsor,,,163,4,6,173
Winhall,,,37,2,5,44
Winooski,,,349,40,88,477
Wolcott,,,50,8,14,72
Woodbury,,,53,3,12,68
Woodford,,,24,3,1,28
Woodstock,,,247,4,30,281
Worcester,,,76,3,19,98
TOTALS,,,"34,423","1,289","7,231","42,943"
