City/Town,Ward,Pct,"Patsy French","Larry Townsend",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Braintree,,,98,95,0,43,236
Brookfield,,,128,123,4,62,317
Granville,,,18,18,0,6,42
Randolph,,,438,402,13,193,"1,046"
Roxbury,,,32,29,0,39,100
TOTALS,,,714,667,17,343,"1,741"
