City/Town,Ward,Pct,"Catherine Toll",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,73,0,11,84
Danville,,,102,0,28,130
Peacham,,,78,1,10,89
TOTALS,,,253,1,49,303
